matchId,team_name,player_name,location_x,location_y,shot_onTarget,shot_isGoal,shot_xg,shot_status
5233053,Stal Mielec,M. Sitek,90,68,TRUE,FALSE,0.02906,På mål
5233053,Nieciecza,M. Mešanović,89,33,TRUE,FALSE,0.1169,På mål
5233053,Stal Mielec,M. Mak,89,38,TRUE,FALSE,0.06882,På mål
5233054,Lech Poznań,J. Kamiński,90,64,TRUE,FALSE,0.1941,På mål
5233054,Lech Poznań,J. Kamiński,90,41,TRUE,FALSE,0.06584,På mål
5233054,Lech Poznań,João Amaral,79,59,TRUE,FALSE,0.0596,På mål
5233054,Lech Poznań,M. Skóraś,89,60,TRUE,FALSE,0.4554,På mål
5233054,Lech Poznań,J. Kamiński,97,38,TRUE,FALSE,0.2157,På mål
5233054,Radomiak Radom,K. Angielski,71,51,TRUE,FALSE,0.02942,På mål
5233055,Cracovia Kraków,P. Zaucha,88,76,TRUE,FALSE,0.006214,På mål
5233054,Lech Poznań,Pedro Silva,88,30,TRUE,FALSE,0.1453,På mål
5233055,Cracovia Kraków,M. Hebo Rasmussen,82,38,TRUE,FALSE,0.04588,På mål
5233055,Cracovia Kraków,Thiago Souza,87,71,TRUE,FALSE,0.03829,På mål
5233055,Cracovia Kraków,F. Balaj,91,55,TRUE,FALSE,0.1147,På mål
5233055,Cracovia Kraków,P. van Amersfoort,90,67,TRUE,FALSE,0.2172,På mål
5233055,Cracovia Kraków,F. Balaj,91,44,TRUE,FALSE,0.06529,På mål
5233056,Jagiellonia Białystok,B. Augustyn,96,55,TRUE,FALSE,0.3536,På mål
5233056,Lechia Gdańsk,J. Kubicki,78,35,TRUE,FALSE,0.04983,På mål
5233056,Jagiellonia Białystok,P. Mystkowski,75,34,TRUE,FALSE,0.04161,På mål
5233056,Lechia Gdańsk,L. Zwoliński,92,44,TRUE,FALSE,0.09678,På mål
5233056,Jagiellonia Białystok,Jesús Imaz,82,58,TRUE,FALSE,0.06595,På mål
5233056,Jagiellonia Białystok,A. Trubeha,90,49,TRUE,FALSE,0.1425,På mål
5233056,Lechia Gdańsk,T. Makowski,73,54,TRUE,FALSE,0.02436,På mål
5233057,Legia Warszawa,M. Rosołek,89,72,TRUE,FALSE,0.0206,På mål
5233057,Wisła Płock,J. Rzeźniczak,93,39,TRUE,FALSE,0.1035,På mål
5233057,Wisła Płock,P. Tuszyński,96,40,TRUE,FALSE,0.2557,På mål
5233057,Wisła Płock,D. Kocyła,81,27,TRUE,FALSE,0.03237,På mål
5233057,Wisła Płock,D. Rasak,78,66,TRUE,FALSE,0.03841,På mål
5233058,Piast Gliwice,P. Sokołowski,91,45,TRUE,FALSE,0.1363,På mål
5233058,Raków Częstochowa,A. Niewulis,88,52,TRUE,FALSE,0.1357,På mål
5233058,Raków Częstochowa,M. Wdowiak,90,60,TRUE,FALSE,0.2458,På mål
5233058,Piast Gliwice,P. Lipski,77,32,TRUE,FALSE,0.06038,På mål
5233058,Raków Częstochowa,P. Kun,95,35,TRUE,FALSE,0.1648,På mål
5233058,Raków Częstochowa,M. Wdowiak,88,69,TRUE,FALSE,0.04918,På mål
5233058,Piast Gliwice,D. Steczyk,87,39,TRUE,FALSE,0.04973,På mål
5233058,Piast Gliwice,P. Lipski,91,59,TRUE,FALSE,0.1112,På mål
5233059,Warta Poznań,M. Jakóbowski,81,62,TRUE,FALSE,0.04843,På mål
5233059,Warta Poznań,M. Kuzimski,91,70,TRUE,FALSE,0.05854,På mål
5233059,Warta Poznań,M. Corryn,83,49,TRUE,FALSE,0.07462,På mål
5233059,Śląsk Wrocław,R. Pich,88,41,TRUE,FALSE,0.1648,På mål
5233059,Śląsk Wrocław,F. Piasecki,80,50,TRUE,FALSE,0.09235,På mål
5233060,Pogoń Szczecin,Jean Carlos,76,28,TRUE,FALSE,0.02339,På mål
5233060,Pogoń Szczecin,K. Triantafyllopulos,89,46,TRUE,FALSE,0.06453,På mål
5233061,Zagłębie Lubin,L. Poręba,75,52,TRUE,FALSE,0.02108,På mål
5233061,Zagłębie Lubin,M. Bartolewski,92,32,TRUE,FALSE,0.06064,På mål
5233061,Wisła Kraków,M. Škvarka,89,53,TRUE,FALSE,0.2872,På mål
5233061,Zagłębie Lubin,M. Bartolewski,75,30,TRUE,FALSE,0.01796,På mål
5233062,Zagłębie Lubin,P. Szysz,86,30,TRUE,FALSE,0.04087,På mål
5233062,Górnik Łęczna,S. Krykun,91,44,TRUE,FALSE,0.1285,På mål
5233063,Górnik Zabrze,M. Cholewiak,91,31,TRUE,FALSE,0.06207,På mål
5233063,Lech Poznań,L. Šatka,94,47,TRUE,FALSE,0.4611,På mål
5233063,Górnik Zabrze,Jesús Jiménez,90,48,TRUE,FALSE,0.3701,På mål
5233063,Lech Poznań,M. Skóraś,92,68,TRUE,FALSE,0.03966,På mål
5233063,Lech Poznań,J. Kamiński,86,50,TRUE,FALSE,0.1906,På mål
5233063,Lech Poznań,João Amaral,87,55,TRUE,FALSE,0.09264,På mål
5233063,Lech Poznań,F. Marchwiński,93,55,TRUE,FALSE,0.182,På mål
5233063,Górnik Zabrze,B. Nowak,71,40,TRUE,FALSE,0.0302,På mål
5233063,Lech Poznań,J. Sýkora,87,59,TRUE,FALSE,0.24,På mål
5233064,Stal Mielec,M. Jankowski,95,27,TRUE,FALSE,0.03039,På mål
5233063,Górnik Zabrze,A. Dziedzic,74,49,TRUE,FALSE,0.04976,På mål
5233064,Stal Mielec,M. Matras,90,59,TRUE,FALSE,0.1215,På mål
5233064,Piast Gliwice,P. Sokołowski,91,44,TRUE,FALSE,0.5447,På mål
5233064,Stal Mielec,M. Mak,93,35,TRUE,FALSE,0.0475,På mål
5233064,Stal Mielec,M. Budziński,89,62,TRUE,FALSE,0.1489,På mål
5233064,Stal Mielec,K. Getinger,92,24,TRUE,FALSE,0.01292,På mål
5233065,Nieciecza,M. Grzybek,91,47,TRUE,FALSE,0.3938,På mål
5233065,Nieciecza,M. Grzybek,90,62,TRUE,FALSE,0.1697,På mål
5233065,Wisła Kraków,M. Škvarka,91,67,TRUE,FALSE,0.07479,På mål
5233065,Nieciecza,M. Mešanović,89,48,TRUE,FALSE,0.1449,På mål
5233065,Wisła Kraków,M. Młyński,77,25,TRUE,FALSE,0.02142,På mål
5233065,Nieciecza,P. Czarnowski,84,69,TRUE,FALSE,0.05944,På mål
5233066,Legia Warszawa,Luquinhas,89,32,TRUE,FALSE,0.06009,På mål
5233066,Radomiak Radom,M. Radecki,88,64,TRUE,FALSE,0.1051,På mål
5233066,Radomiak Radom,M. Radecki,84,34,TRUE,FALSE,0.07339,På mål
5233066,Radomiak Radom,M. Kozak,91,30,TRUE,FALSE,0.03642,På mål
5233066,Radomiak Radom,D. Sokół,91,60,TRUE,FALSE,0.3776,På mål
5233067,Pogoń Szczecin,B. Zech,94,39,TRUE,FALSE,0.3969,På mål
5233067,Pogoń Szczecin,K. Drygas,94,64,TRUE,FALSE,0.1213,På mål
5233067,Pogoń Szczecin,K. Kozłowski,86,59,TRUE,FALSE,0.2447,På mål
5233068,Cracovia Kraków,F. Balaj,90,57,TRUE,FALSE,0.1392,På mål
5233068,Cracovia Kraków,P. van Amersfoort,72,64,TRUE,FALSE,0.02547,På mål
