matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,pass,groundDuel,aerialDuel,infraction,carry,type_primary,type_secondary,location_x,location_y,team_id,team_name,team_formation,opponentTeam_id,opponentTeam_name,opponentTeam_formation,player_id,player_name,player_position,shot_bodyPart,shot_isGoal,shot_onTarget,shot_goalZone,shot_xg,shot_postShotXg,shot_goalkeeperActionId,shot_goalkeeper_id,shot_goalkeeper_name,possession_id,possession_duration,possession_types,possession_eventsNumber,possession_eventIndex,possession_startLocation_x,possession_startLocation_y,possession_endLocation_x,possession_endLocation_y,possession_team_id,possession_team_name,possession_team_formation,possession_attack_withShot,possession_attack_withShotOnGoal,possession_attack_withGoal,possession_attack_flank,possession_attack_xg,distance_to_goal,angle_to_goal
5233053,1H,40,52,00:40:52.873,2454.873738,NA,NA,NA,NA,NA,NA,shot,,84,47,13712,Nieciecza,3-5-2,13544,Stal Mielec,3-4-2-1,589232,E. Terpiłowski,SS,right_foot,TRUE,TRUE,gbr,0.1357,0.5538,971265884,99457,M. Gliwa,971265491,48.364071,,18,17,28,76,84,47,13712,Nieciecza,3-5-2,TRUE,TRUE,TRUE,left,0.1357,16.278820596099706,10.619655276155134
5233055,1H,41,13,00:41:13.484,2475.484745,NA,NA,NA,NA,NA,NA,shot,,90,62,13511,Górnik Łęczna,4-4-2,13521,Cracovia Kraków,4-2-3-1,101040,B. Śpiączka,SS,right_foot,TRUE,TRUE,glb,0.2211,0.7353,975674580,104782,L. Hroššo,975673812,10.392101,,6,5,39,43,90,62,13511,Górnik Łęczna,4-4-2,TRUE,TRUE,TRUE,center,0.2211,15.620499351813308,50.19442890773481
5233055,2H,81,57,01:21:57.550,5052.550607,NA,NA,NA,NA,NA,NA,shot,,93,53,13521,Cracovia Kraków,4-4-1-1,13511,Górnik Łęczna,4-4-2,15258,M. Álvarez,AMF,right_foot,TRUE,TRUE,glb,0.4848,0.8276,975674404,101120,M. Gostomski,975675062,24.8729045,,15,14,28,87,93,53,13521,Cracovia Kraków,4-4-1-1,TRUE,TRUE,TRUE,center,0.4848,7.615773105863909,23.19859051364819
5233056,2H,51,34,00:51:34.983,3165.983855,NA,NA,NA,NA,NA,NA,shot,,91,49,13559,Lechia Gdańsk,4-3-3,13527,Jagiellonia Białystok,3-5-2,168824,L. Zwoliński,CF,right_foot,TRUE,TRUE,gb,0.3603,0.4827,981700822,676638,X. Dziekoński,981701353,9.592875,,6,5,29,85,91,49,13559,Lechia Gdańsk,4-3-3,TRUE,TRUE,TRUE,right,0.3603,9.055385138137417,6.34019174590991
5233056,2H,54,44,00:54:44.498,3355.498078,NA,NA,NA,NA,NA,NA,shot,,90,48,13527,Jagiellonia Białystok,3-5-2,13559,Lechia Gdańsk,4-3-3,7711,Jesús Imaz,SS,right_foot,TRUE,TRUE,gb,0.2727,0.2086,981700821,18573,Z. Alomerović,981701577,8.922947,,5,4,46,86,90,48,13527,Jagiellonia Białystok,3-5-2,TRUE,TRUE,TRUE,right,0.2727,10.198039027185569,11.309932474020213
5233057,1H,27,33,00:27:33.118,1659.118618,NA,NA,NA,NA,NA,NA,shot,,72,41,13505,Legia Warszawa,4-2-3-1,13508,Wisła Płock,4-2-3-1,560443,E. Muçi,RAMF,right_foot,TRUE,TRUE,gl,0.01606,0.07311,970612073,100127,K. Kamiński,970612651,14.2092545,,11,10,56,100,72,41,13505,Legia Warszawa,4-2-3-1,TRUE,TRUE,TRUE,left,0.0161,29.410882339705484,17.81888891452278
5233058,1H,42,53,00:42:53.871,2575.871642,NA,NA,NA,NA,NA,NA,shot,,75,61,13540,Raków Częstochowa,3-4-3,13530,Piast Gliwice,4-2-3-1,269190,M. Wdowiak,RWB,right_foot,TRUE,TRUE,gl,0.02005,0.2461,971179196,104853,F. Plach,971178697,2.741819,,4,3,100,100,75,61,13540,Raków Częstochowa,3-4-3,TRUE,TRUE,TRUE,right,0.02,27.313000567495326,23.74949449286676
5233058,2H,65,53,01:05:53.782,4113.782465,NA,NA,NA,NA,NA,NA,shot,,91,55,13530,Piast Gliwice,4-2-3-1,13540,Raków Częstochowa,3-4-3,326453,P. Sokołowski,RDMF,right_foot,TRUE,TRUE,gr,0.2581,0.5147,971179199,509933,V. Kovačević,971179989,3.315629,,3,2,77,76,91,55,13530,Piast Gliwice,4-2-3-1,TRUE,TRUE,TRUE,right,0.2581,10.295630140987,29.054604099077146
5233058,2H,69,58,01:09:58.071,4358.071967,NA,NA,NA,NA,NA,NA,shot,,95,54,13540,Raków Częstochowa,3-4-3,13530,Piast Gliwice,4-2-3-1,568655,W. Długosz,RWB,right_foot,TRUE,TRUE,gb,0.557,0.737,971179207,104853,F. Plach,971179867,24.8233835,,13,12,28,55,95,54,13540,Raków Częstochowa,3-4-3,TRUE,TRUE,TRUE,left,0.557,6.4031242374328485,38.65980825409009
5233059,1H,26,25,00:26:25.423,1586.423047,NA,NA,NA,NA,NA,NA,shot,,90,49,13545,Warta Poznań,4-4-1-1,13536,Śląsk Wrocław,3-4-3,281546,J. Grzesik,RB,head_or_other,TRUE,TRUE,gl,0.156,0.5174,971397804,99690,M. Szromnik,971398103,5.0138045,,4,3,70,65,90,49,13545,Warta Poznań,4-4-1-1,TRUE,TRUE,TRUE,right,0.156,10.04987562112089,5.710593137499642
