shot_goalZone,team_name,player_name,matchPeriod,goals
gb,Cracovia Kraków,B. Källman,2H,1
gb,Cracovia Kraków,J. Myszor,1H,1
gb,Cracovia Kraków,J. Myszor,2H,1
gb,Cracovia Kraków,K. Pestka,1H,1
gb,Cracovia Kraków,M. Hebo Rasmussen,2H,1
gb,Cracovia Kraków,M. Rakoczy,1H,1
gb,Cracovia Kraków,M. Rakoczy,2H,1
gb,Cracovia Kraków,S. Hanca,1H,1
gb,Cracovia Kraków,S. Hanca,2H,1
gb,Górnik Zabrze,B. Nowak,2H,1
gb,Górnik Zabrze,E. Janža,1H,1
gb,Górnik Zabrze,Jesús Jiménez,1H,1
gb,Górnik Zabrze,K. Okunuki,2H,1
gb,Górnik Zabrze,L. Podolski,1H,1
gb,Górnik Zabrze,L. Podolski,2H,1
gb,Górnik Zabrze,P. Krawczyk,1H,2
gb,Górnik Zabrze,R. Dadok,2H,1
gb,Górnik Zabrze,R. Janicki,1H,1
gb,Górnik Zabrze,S. Włodarczyk,1H,1
gb,Górnik Łęczna,B. Śpiączka,2H,2
gb,Górnik Łęczna,P. Banaszak,1H,1
gb,Jagiellonia Białystok,B. Bida,2H,1
gb,Jagiellonia Białystok,Jesús Imaz,1H,2
gb,Jagiellonia Białystok,Jesús Imaz,2H,4
gb,Jagiellonia Białystok,Marc Gual,1H,3
gb,Jagiellonia Białystok,T. Přikryl,1H,1
gb,Korona Kielce,D. Błanik,2H,1
gb,Korona Kielce,J. Łukowski,1H,2
gb,Korona Kielce,K. Petrov,2H,1
gb,Lech Poznań,A. Milić,2H,1
gb,Lech Poznań,B. Salamon,2H,1
gb,Lech Poznań,D. Kownacki,2H,2
gb,Lech Poznań,F. Szymczak,2H,1
gb,Lech Poznań,J. Kamiński,2H,1
gb,Lech Poznań,João Amaral,1H,3
gb,Lech Poznań,João Amaral,2H,1
gb,Lech Poznań,M. Ishak,1H,1
gb,Lech Poznań,M. Ishak,2H,3
gb,Lechia Gdańsk,Flávio Paixão,2H,1
gb,Lechia Gdańsk,L. Zwoliński,2H,5
gb,Lechia Gdańsk,M. Gajos,1H,1
gb,Lechia Gdańsk,M. Nalepa,2H,1
gb,Lechia Gdańsk,M. Terrazzino,1H,1
gb,Legia Warszawa,E. Muçi,2H,3
gb,Legia Warszawa,F. Mladenović,1H,1
gb,Legia Warszawa,M. Emreli,2H,1
gb,Legia Warszawa,M. Rosołek,1H,1
gb,Legia Warszawa,M. Rosołek,2H,1
gb,Legia Warszawa,M. Wieteska,1H,1
gb,Legia Warszawa,M. Wieteska,2H,2
gb,Legia Warszawa,P. Sokołowski,1H,1
gb,Legia Warszawa,P. Wszołek,1H,1
gb,Legia Warszawa,Rafa Lopes,1H,1
gb,Legia Warszawa,T. Pekhart,1H,1
gb,Miedź Legnica,Koldo Obieta,1H,2
gb,Miedź Legnica,O. Kobacki,1H,1
gb,Nieciecza,K. Śpiewak,2H,1
