shot_goalZone,team_name,player_name,matchPeriod,total_shots,goals,conversion_rate
bc,Cracovia Kraków,B. Källman,1H,1,0,0
bc,Cracovia Kraków,B. Källman,2H,2,0,0
bc,Cracovia Kraków,C. Râpă,1H,5,0,0
bc,Cracovia Kraków,C. Râpă,2H,4,0,0
bc,Cracovia Kraków,D. Jablonský,2H,1,0,0
bc,Cracovia Kraków,D. Sadiković,1H,2,0,0
bc,Cracovia Kraków,F. Balaj,2H,1,0,0
bc,Cracovia Kraków,F. Loshaj,1H,1,0,0
bc,Cracovia Kraków,F. Loshaj,2H,6,0,0
bc,Cracovia Kraków,J. Jugas,2H,2,0,0
bc,Cracovia Kraków,J. Myszor,1H,5,0,0
bc,Cracovia Kraków,J. Myszor,2H,8,0,0
bc,Cracovia Kraków,K. Knap,1H,6,0,0
bc,Cracovia Kraków,K. Knap,2H,4,0,0
bc,Cracovia Kraków,K. Ogorzały,2H,1,0,0
bc,Cracovia Kraków,K. Pestka,1H,2,0,0
bc,Cracovia Kraków,K. Pestka,2H,5,0,0
bc,Cracovia Kraków,M. Hebo Rasmussen,1H,6,0,0
bc,Cracovia Kraków,M. Hebo Rasmussen,2H,6,0,0
bc,Cracovia Kraków,M. Rakoczy,1H,9,0,0
bc,Cracovia Kraków,M. Rakoczy,2H,4,0,0
bc,Cracovia Kraków,M. Rodin,1H,2,0,0
bc,Cracovia Kraków,M. Rodin,2H,3,0,0
bc,Cracovia Kraków,M. Sipľak,2H,4,0,0
bc,Cracovia Kraków,M. Álvarez,1H,2,0,0
bc,Cracovia Kraków,M. Álvarez,2H,4,0,0
bc,Cracovia Kraków,O. Kakabadze,1H,5,0,0
bc,Cracovia Kraków,O. Kakabadze,2H,7,0,0
bc,Cracovia Kraków,P. Jaroszyński,1H,1,0,0
bc,Cracovia Kraków,P. Jaroszyński,2H,1,0,0
bc,Cracovia Kraków,P. Makuch,1H,4,0,0
bc,Cracovia Kraków,P. Makuch,2H,5,0,0
bc,Cracovia Kraków,P. van Amersfoort,1H,5,0,0
bc,Cracovia Kraków,P. van Amersfoort,2H,5,0,0
bc,Cracovia Kraków,R. Ożóg,2H,1,0,0
bc,Cracovia Kraków,Rivaldinho,1H,1,0,0
bc,Cracovia Kraków,Rivaldinho,2H,1,0,0
bc,Cracovia Kraków,S. Hanca,1H,5,0,0
bc,Cracovia Kraków,S. Hanca,2H,4,0,0
bc,Cracovia Kraków,S. Lusiusz,1H,1,0,0
bc,Cracovia Kraków,S. Lusiusz,2H,2,0,0
bc,Cracovia Kraków,T. Oshima,1H,2,0,0
bc,Cracovia Kraków,T. Oshima,2H,3,0,0
bc,Cracovia Kraków,V. Ghiţă,2H,1,0,0
bc,Cracovia Kraków,Y. Konoplyanka,2H,2,0,0
bc,Górnik Zabrze,A. Dziedzic,2H,1,0,0
bc,Górnik Zabrze,A. Gryszkiewicz,1H,2,0,0
bc,Górnik Zabrze,A. Gryszkiewicz,2H,1,0,0
bc,Górnik Zabrze,A. Manneh,1H,4,0,0
bc,Górnik Zabrze,A. Manneh,2H,9,0,0
bc,Górnik Zabrze,A. Maroša,2H,1,0,0
bc,Górnik Zabrze,A. Paluszek,2H,2,0,0
bc,Górnik Zabrze,B. Nowak,1H,11,0,0
bc,Górnik Zabrze,B. Nowak,2H,10,0,0
bc,Górnik Zabrze,D. Pawłowski,1H,3,0,0
bc,Górnik Zabrze,D. Pawłowski,2H,4,0,0
bc,Górnik Zabrze,D. Stalmach,1H,1,0,0
bc,Górnik Zabrze,D. Stalmach,2H,4,0,0
bc,Górnik Zabrze,Dani Pacheco,1H,4,0,0
bc,Górnik Zabrze,Dani Pacheco,2H,4,0,0
bc,Górnik Zabrze,E. Bergström,2H,1,0,0
bc,Górnik Zabrze,E. Janža,1H,7,0,0
bc,Górnik Zabrze,E. Janža,2H,3,0,0
bc,Górnik Zabrze,F. Bainović,2H,1,0,0
bc,Górnik Zabrze,Higinio Marín,2H,2,0,0
bc,Górnik Zabrze,J. Kotzke,1H,1,0,0
bc,Górnik Zabrze,J. Kotzke,2H,1,0,0
bc,Górnik Zabrze,J. Mvondo,1H,3,0,0
bc,Górnik Zabrze,J. Mvondo,2H,1,0,0
bc,Górnik Zabrze,Jesús Jiménez,1H,6,0,0
bc,Górnik Zabrze,Jesús Jiménez,2H,4,0,0
bc,Górnik Zabrze,K. Kubica,1H,3,0,0
bc,Górnik Zabrze,K. Kubica,2H,4,0,0
bc,Górnik Zabrze,K. Okunuki,1H,1,0,0
bc,Górnik Zabrze,K. Okunuki,2H,1,0,0
bc,Górnik Zabrze,L. Podolski,1H,11,0,0
bc,Górnik Zabrze,L. Podolski,2H,20,0,0
bc,Górnik Zabrze,M. Cholewiak,1H,4,0,0
bc,Górnik Zabrze,M. Cholewiak,2H,5,0,0
